A beautiful mind                        
A Few Good Men                          
Aaron, Caroline                         
Abraham, F. Murray                      
Ackroyd, Dan                            
Addy, Mark                              
Affleck, Ben                            
Affleck, Casey                          
Agutter, Jenny                          
Al Pacino                               
Alda, Alan                              
Alexander, Jason                        
Allen, Joan                             
Allen, Karen                            
Allen, Tim                              
Allen, Woody                            
Anderson, Anthony                       
Anderson, Gillian                       
Anderson, Richard Dean                  
Andrews, Julie                          
Angie cepeda                            
Aniston, Jennifer                       
Ann Margaret                            
Anwar, Gabriel                          
Applegate, Christina                    
Archer, Anne                            
Arkin, Alan                             
Arliss, George                          
Arnold, Tom                             
Arquette, David                         
Arquette, Patricia                      
Arquette, Rosanna                       
Assante, Armand                         
Astaire, Fred                           
Astin, Sean                             
Atkinson, Rowan                         
Attenborough, Richard                   
Aykroyd, Dan                            
Azaria, Hank                            
Azorin, Eloy                            
Babe                                    
Babette's Feast                         
Bacall, Lauren                          
Bachchan, Amitabh                       
Back to the Future                      
Bacon, Kevin                            
Badalucco, Michael                      
Baker, Dylan                            
Balaban, Bob                            
Baldwin, Alec                           
Baldwin, Stephen                        
Bale, Christian                         
Balk,Fariuza                            
Ball, Lucille                           
Bancroft, Anne                          
Banderas, Antonio                       
Baranski, Christine                     
Bardem, Javier                          
Barkin, Ellen                           
Barry, Raymond J.                       
Barrymore, Drew                         
Barrymore, John                         
Barrymore, Lionel                       
Basinger, Kim                           
Bassett, Angela                         
Bates, Alan                             
Bates, Kathy                            
Beals, Jennifer                         
Bean, Sean                              
Beart, Emmanuelle                       
'Beat' Takeshi                          
Beatty, Ned                             
Beatty, Warren                          
Beautiful Girls                         
Beckinsale, Kate                        
Bedelia, Bonnie                         
Being There                             
Bell, Catherine                         
Belluci, Monica                         
Belmondo, Jean Paul                     
Belushi, James                          
Belushi, John                           
Ben Kingsley                            
Ben Stiller                             
Benigni, Roberto                        
Bening, Annette                         
Bennini, Roberto                        
Benson, Robby                           
Berenger, Tom                           
Bergman, Ingrid                         
Berry, Halle                            
Besson, Luc                             
Bette Midler                            
Biehn, Michael                          
Big Trouble in Little China             
Biggs, Jason                            
Binoche, Juliette                       
Birch, Thora                            
Black, Jack                             
Blade Runner                            
Blair, Selma                            
Blanchett, Cate                         
Blazing Saddles                         
Bleibtreu, Moritz                       
Blessed, Brian                          
Blethyn, Brenda                         
Bloom, Orlando                          
Bogart, Humphrey                        
Booey, Babba                            
Boothe, Powers                          
Borgnine, Ernest                        
bowen, julie                            
Bowie, David                            
Boyle, Peter                            
Bracco, Lorraine                        
brad pitt                               
brad, pitt                              
Bradford, Jesse                         
Branagh, Kenneth                        
Brando, Marlon                          
Braugher, Andre                         
Brendon, Nicholas                       
Bridges, Jeff                           
Brimley, Wilford                        
Broadbent, Jim                          
Broderick, Matthew                      
Brolin, Josh                            
Bronson, Charles                        
Brooks Mel                              
Brooks, Albert                          
Brosnan, Pierce                         
Bruce Lee                               
Bull Durham                             
Bullock, Sandra                         
Burgi, Richard                          
Burns, Edward                           
Burstyn, Ellen                          
Burton, Richard                         
Buscemi, Steve                          
Busey, Gary                             
Byrne, Gabriel                          
Caan, James                             
Cage, Nicolas                           
Cagney, James                           
Cain, Dean                              
Caine, Michael                          
Campbell, Bruce                         
Campbell, Neve                          
Cancel                                  
Candy, John                             
Capshaw, Kate                           
Carlyle, Robert                         
Carradine, John                         
Carrere, Tia                            
Carrey, Jim                             
Carter, Helena Bonham                   
Cartwright, Nancy                       
Carvey, Dana                            
Cary Grant                              
Casablanca                              
Cassel, Vincent                         
Castellaneta, Dan                       
Cattrall, Kim                           
cavanaugh, tom                          
Caviezel, James                         
Cazale, John                            
Chan, Jackie                            
Channing, Stockard                      
Chaplin, Ben                            
Chaplin, Charlie                        
Chappelle, Dave                         
Charisma Carpenter                      
Chase, Chevy                            
Chaykin, Maury                          
Cheadle, Don                            
Chen, Jakie                             
Chestnut, Morris                        
Cho, Margaret                           
Chow, Stephen                           
Chow, Yun Fat                           
Christie, Julie                         
Claire Bloom                            
Clapp, Gordon                           
Clara Bow                               
Clarkson, Patricia                      
Cleese, John                            
Clift, Montgomery                       
Clint Eastwood                          
Clooney, George                         
Close, Eric                             
Close, Glenn                            
Cobb, Keith Hamilton                    
Cobbs, Bill                             
Coburn, James                           
Cohen, Scott                            
Cole, Gary                              
Coleman, Dabney                         
Collette, Toni                          
Coltrane, Robbie                        
Combs, Holly Marie                      
Combs, Jefferey                         
Connelly, Jennifer                      
Connery, Sean                           
Connick Jr., Harry                      
Conway, Kevin                           
Cook, Rachael Leigh                     
Coolidge, Jennifer                      
Cooper , Gary                           
Cooper, Chris                           
Corbett, John                           
Corrigan, Kevin                         
Cosby, Bill                             
Costner, Kevin                          
Cox, Brian                              
Cox, Ronny                              
Coyote, Peter                           
Crawford, Joan                          
Cromwell, James                         
Cronyn, Hume                            
Crosby, Bill                            
Crosby, Bin                             
Crouching Tiger, Hidden Dragon          
Crouse, Lindsay                         
Crowe, Russell                          
Crudup, Billy                           
Cruise, Tom                             
Cruz, Penelope                          
Crystal, Billy                          
Cube, Ice                               
Cumming, Alan                           
Curry, Tim                              
Curtis, Cliff                           
Curtis, Jamie Lee                       
Curtis, Tony                            
Cusack, Joan                            
Cusack, John                            
Cyrano de Bergerac                      
Dafoe, Willem                           
Dalton, Timothy                         
Damon, Matt                             
Danes, Claire                           
Daniel Day Lewis                        
Daniels, Anthony                        
Daniels, Jeff                           
David, Keith                            
Davidson Jaye                           
Davies, Jeremy                          
Davis, Bette                            
Davis, Geena                            
Davis, Hope                             
Davis, Judy                             
Davis, Ossie                            
Davis, Warwick                          
Davison, Bruce                          
Day, Doris                              
Day-Lewis, Daniel                       
De Havilland, Olivia                    
De Niro, Robert                         
Dean Martin                             
Dean, James                             
Del Toro, Benicio                       
Delaney, Dana                           
DeLuise, Dom                            
Dench, Judi                             
Deneuve, Catherine                      
DeNiro, Robert                          
Denzel Washington                       
Depardieu, Gerard                       
Depp, Johnny                            
Dern, Bruce                             
Dern, Laura                             
Devine                                  
DeVito, Danny                           
Diane Keaton                            
Diaz, Cameron                           
DiCaprio, Leonardo                      
Dick Van Dyke                           
Die Hard                                
Diesel, Vin                             
Diggs, Taye                             
Dillon, Matt                            
Dirty Harry                             
Divine                                  
Doctor Zhivago                          
Dolenz, Ami                             
Donald Duck                             
D'Onofrio, Vincent                      
Donovan, Martin                         
Dooley, Paul                            
Dorff, Stephen                          
Douglas, Illeana                        
Douglas, Kirk                           
Douglas, Michael                        
Dourif, Brad                            
Downey Jr., Robert                      
Dreyfuss, Richard                       
Driver, Minnie                          
Duchovny, David                         
Dudley Moore                            
Dukakis, Olympia                        
Duke, Bill                              
Dunaway, Faye                           
Duncan, Michael                         
Dunn, Nora                              
Dunst, Kirsten                          
Durbin, Deanna                          
Durning, Charles                        
Dushku, Eliza                           
Dustin Hoffman                          
Dutton, Charles S.                      
Duvall, Robert                          
E.T. the Extra-Terrestrial              
Ealy, Michael                           
Eastwood, Clint                         
Eckhart, Aaron                          
Elfman, Jenna                           
Elizabeth Perkins                       
Elizabeth Taylor,                       
Elizabeth, Shannon                      
Elizondo, Hector                        
Elliott, Chris                          
Elliott, David James                    
Elliott, Sam                            
Elvis Presley                           
Elwes, Cary                             
Empire of the Sun                       
English Patient                         
Englund, Robert                         
Epps, Omar                              
Ermey, R. Lee                           
Esposito, Jennifer                      
Estevez, Emilio                         
estwood, clint                          
Ethan Hawke                             
Evans, Lee                              
Everett, Rupert                         
Excalibur                               
Falco, Edie                             
Falk, Peter                             
Farina, Dennis                          
Farley, Chris                           
Farnsworth, Richard                     
Farrell, Colin                          
Farrow, Mia                             
Faulk, Peter                            
Favreau, John                           
Fehr, Oded                              
Fenn, Sherilyn                          
Ferrell, Will                           
Ferrer, Jose                            
Ferrer, Miguel                          
Fichtner, William                       
Fiddler on the Roof, The                
Field, Sally                            
Fields, W.C.                            
Fiennes, Ralph                          
Fierstein, Harvey                       
Finney, Albert                          
Fiorentino, Linda                       
Firth, Colin                            
Fishburne, Laurence                     
Fisher King, The                        
Fisher, Carrie                          
Flanery, Sean Patrick                   
Flight of the Phoenix,The               
Flynn, Errol                            
Foley, Dave                             
Fonda , Jane                            
Fonda, Bridget                          
Fonda, Henry                            
Ford, Harrison                          
Forlani, Claire                         
Forrest, Frederic                       
Forster, Robert                         
Foster, Jodie                           
Foster, Jody                            
Fox, Michael J.                         
Fox, Vivica                             
Foxx, Jamie                             
Fran Drescher                           
Franz, Dennis                           
Fraser, Brendan                         
Frederic March                          
Freeman, Morgan                         
Fry, Stephen                            
Gable, Clark                            
Gallagher, Peter                        
Gambon, Michael                         
Gandolfini, James                       
Ganz, Bruno                             
Garber, Victor                          
Garbo, Greta                            
Garcia, Adam                            
Garcia, Andy                            
Garland, Judy                           
Garner, James                           
Garner, Jennifer                        
Garofalo, Janeane                       
Garr, Teri                              
Gellar, Sarah Michelle                  
George Burns                            
george cloo                             
Gere, Richard                           
Gershon, Gina                           
Getty, Balthazar                        
Giamatti, Paul                          
Giannini, Giancarlo                     
Gibso, Mel                              
Gibson, Mel                             
Gielgud, John                           
Gilliam, Terry                          
Gish, Lillian                           
Glenn Ford                              
Glenn, Scott                            
Glover, Brian                           
Glover, Crispin                         
Glover, Danny                           
Goldberg, Whoopi                        
Goldblum, Jeff                          
Goodall, Caroline                       
Gooding Jr., Cuba                       
Goodman, John                           
Graham, Heather                         
Grant, Cary                             
Grant, Hugh                             
Grant, Richard E.                       
Green, Seth                             
Green, Tom                              
Greene, Graham                          
Greenstreet, Sydney                     
Greenwood, Bruce                        
