Kilmer, Val                             
Hamilton, Guy                           
Lithgow, John                           
Cruise, Tom                             
Andrews, Julie                          
Boorman, John                           
Damon, Matt                             
Lange, Jessica                          
Crowe, Cameron                          
Akkad, Moustapha                        
Pal, George                             
Thomas, Betty                           
Itami, Isuzu                            
Schumacher, Joel                        
Fleming, Victor                         
Karloff, Boris                          
Greenaway, Peter                        
Terrence Fisher                         
Kaurismaeki, Aki                        
Mulcahy , Russell                       
Howard, Ron                             
Hopkins, Stephen                        
Moss, Carrie-Anne                       
Goodman, John                           
Affleck, Ben                            
Cusack, John                            
Luhrmann, Baz                           
Frankenheimer, John                     
Araki, Gregg                            
Lee, Bruce                              
Caan, James                             
Hawks, Howard                           
Weitz, Chris                            
Darabont, Frank                         
Hill, Walter                            
Fonda, Henry                            
Sheen, Charlie                          
Tarantino, Quentin                      
Hark, Tsui                              
Badham, John                            
Anders, Allison                         
Almodovar, Pedro                        
Robbins, Tim                            
Pitt, Brad                              
Bronson, Charles                        
Gilliam, Terry                          
De Havilland, Olivia                    
Sandler, Adam                           
Chase, Chevy                            
Miner, Steve                            
Kubrick, Stanley                        
Gosnell, Raja                           
Hanks, Tom                              
Jean Claude Van Damme                   
Dern, Bruce                             
Turteltaub, Jon                         
Wang, Wayne                             
Stillman, Whit                          
Sommers, Stephen                        
Reeve, Christopher                      
Yun-Fat, Chow                           
Disney, Walt                            
Meyers, Mike                            
Demme, Ted                              
Bergman, Ingmar                         
Lynch, David                            
Duvall, Robert                          
Hamilton, Linda                         
Moore, Demi                             
Heckerling, Amy                         
Garr, Teri                              
Mueller-Stahl, Armin                    
Bennini, Roberto                        
Landau, Martin                          
Avildsen, John G.                       
Stephen Spielberg                       
Huston, John                            
Kidman, Nicole                          
Mortensen, Viggo                        
Shatner, William                        
Forman, Milos                           
Zucker, David                           
Tornatore, Giuseppe                     
Redford, Robert                         
mehta, Deepa                            
Jones, James Earl                       
Zhang, Yimou                            
Ramis, Harold                           
Marshall, Garry                         
Jeunet, Jean-Pierre                     
De Palma, Brian                         
Ackroyd, Dan                            
Jordan, Neil                            
Allen, Tim                              
Dreyfuss, Richard                       
Godard, Jean-Luc                        
Cage, Nicolas                           
Crowe, Russell                          
Whale, James                            
Depardieu, Gerard                       
Hawn, Goldie                            
Smith, Will                             
Depp, Johnny                            
von Sydow, Max                          
Michell, Roger                          
Weir, Peter                             
Hughes, John                            
Mallick, Terrence                       
Schepisi, Fred                          
Koreeda, Hirokazu                       
Duchovny, David                         
Wise, Robert                            
Rodriguez, Robert                       
David Lean                              
Goldberg, Whoopi                        
Donaldson, Roger                        
Rickman, Alan                           
Carter, Helena Bonham                   
Mangold, James                          
Kramer, Stanley                         
Clooney, George                         
Lehmann, Michael                        
Walken, Christopher                     
Lasseter, John                          
Zepherelli, Franco                      
Lucas, George                           
Hitchcock, Alfred                       
MacDowell, Andie                        
Foster, Jody                            
Cronenberg, David                       
Witherspoon, Reese                      
Patinkin, Mandy                         
Astaire, Fred                           
Ford, John                              
Softley, Iain                           
Kurosawa, Akira                         
Tamahori, Lee                           
Buscemi, Steve                          
Reitman, Ivan                           
Ratner, Brett                           
Takahata, Isao                          
Biehn, Michael                          
Affleck, Casey                          
Short, Martin                           
Anderson, Paul Thomas                   
Waters, John                            
Brooks, Albert                          
Guest, Christopher                      
Aykroyd, Dan                            
Herzog, Werner                          
Agnieszka Holland                       
Tarkovsky, Andrei                       
Forsythe, Bill                          
Foster, Jodie                           
Nolte, Nick                             
Cohen, Rob                              
Leder, Mimi                             
Whedon, Joss                            
Shyamalan, M. Night                     
Martin, Steve                           
Streisand , Barbra                      
Caton-Jones, Michael                    
Sanders, Chris (III)                    
Thompson, Emma                          
Bening, Annette                         
Wenders, Wim                            
Norton, Edward                          
Craven, Wes                             
Dern, Laura                             
Mamet, David                            
Rohmer, Eric                            
DeVito, Danny                           
miyazaki, Hayoa                         
Franco Zefirelli                        
Welles, Orson                           
Arquette, Patricia                      
Bruce Lee                               
Neeson, Liam                            
Swayze, Patrick                         
Singleton, John                         
Nair, Mira                              
Ford, Harrison                          
Kasdan, Lawrence                        
Weaver, Sigourney                       
Van Sant, Gus                           
Li, Jet                                 
Barrymore, Drew                         
Travolta, John                          
Proyas, Alex                            
Perlman, Ron                            
DeNiro, Robert                          
Bullock, Sandra                         
Woody Allen                             
Francis Ford Coppola                    
Hanna, Kevin                            
Noyce, Phillip                          
Carpenter, John                         
Demme, Jonathan                         
Huston, Anjelica                        
Waits, Tom                              
Leone, Sergio                           
Freeman, Morgan                         
Gatlif, Tony                            
Bogdonavich, Peter                      
Morris, Errol                           
Kudrow, Lisa                            
West, Simon                             
Hartley, Hal                            
Sturges, Preston                        
Ryan, Meg                               
Lee, Christopher                        
Woo, John                               
Keaton, Diane                           
Nolan, Christopher                      
Oz, Frank                               
Silver, Joel                            
Bertolucci, Bernardo                    
Peckinpah, Sam                          
Pierce, David Hyde                      
Young, Terence                          
Stiller, Ben                            
John Ford                               
Romero, George A.                       
Hauer, Rutger                           
Coen, Joel                              
Petersen, Wolfgang                      
Buñuel, Luis                            
Ricci, Christina                        
Newell, Mike                            
Allen, Woody                            
Only one                                
De Sica, Vittorio                       
Broadbent, Jim                          
Dench, Judi                             
Murphy, Eddie                           
Leigh, Mike                             
Rosenthal, Rick                         
Crystal, Billy                          
Truffaut, François                      
Wachowski, Andy                         
Mendes, Sam                             
John Woo                                
Driver, Minnie                          
Faulk, Peter                            
Tom Hanks                               
Dukakis, Olympia                        
Cecil B. DeMille                        
Luna, Bigas                             
McConaughey, Matthew                    
Campbell, Martin                        
Ron Howard                              
Singer, Bryan                           
Benjamin, Richard                       
Aronofsky, Darren                       
Connery, Sean                           
Farrelly, Peter                         
McGregor, Ewan                          
Ephron, Nora                            
Russell, Kurt                           
Sorkin, Aaron                           
Apted, Michael                          
Roberts, Julia                          
Garofalo, Janeane                       
Harrison, Ford                          
O'Connor, Donald                        
Moore, Michael                          
Nimoy, Leonard                          
Davis, Andrew                           
Jarmusch, Jim                           
Leachman, Cloris                        
Pollack, Sydney                         
Ritchie, Guy                            
Quaid, Dennis                           
Coen, Ethan                             
Kitano, Takeshi                         
Guinness, Alec                          
Capra, Frank                            
Kapur, shekhar                          
Steven Speilberg                        
Cancel                                  
Bruckheimer, Jerry                      
Roach, Jay                              
Anderson, Wes                           
Linklater, Richard                      
Moore, Dudley                           
Brooks, Mel                             
Donen, Stanley                          
Emmerich, Roland                        
Alexander, Jason                        
Walsh, Raoul                            
Fulci, Lucio                            
Abraham, F. Murray                      
Kristof Zanussi                         
Klapisch, Cedric                        
Lloyd, Christopher                      
Zemeckis, Robert                        
Bay, Michael                            
No others                               
Carrey, Jim                             
Willis, Bruce                           
Washington, Denzel                      
Fisher, Carrie                          
Hyams, Peter                            
Belushi, John                           
Scorsese, Martin                        
Martinez Lázaro, Emilio                 
Hannah, Daryl                           
Argento, Dario                          
King,Steven                             
Pacino, Al                              
Shadyac, Tom                            
Lester, Richard                         
Miyazaki, Hayao                         
Solendz, Todd                           
Curtiz, Michael                         
Beresford, Bruce                        
Scott, Ridley                           
Minghella, Anthony                      
Williams, Robin                         
Midler, Bette                           
Bowie, David                            
Malkovich, John                         
DeBlois, Dean                           
Spacey, Kevin                           
Raimi, Sam                              
Landis, John                            
Columbus, Chris                         
Weisman, Sam                            
Wertmuller, Lina                        
Branagh, Kenneth                        
Winkler, Irwin                          
Ray, Satyajit                           
Petrie, Donald                          
Tykwer, Tom                             
Hepburn, Audrey                         
MacMurray, Fred                         
Kusturica, Emir                         
Billy Wilder                            
Deneuve, Catherine                      
Neuwirth, Bebe                          
Altman, Robert                          
Baldwin, Alec                           
Sonnenfeld, Barry                       
McDowell, Malcolm                       
Coraci, Frank                           
Verhoeven, Paul                         
Polanski, Roman                         
Sidney Pollack                          
François Truffaut                       
Antonioni, Michelangelo                 
Minelli, Vincent                        
Nichols, Mike                           
Fuqua, Antoine                          
Von Trier, Lars                         
Davis, Bette                            
Snipes, Wesley                          
Wachowski, Larry                        
Kinnear, Greg                           
Grant, Hugh                             
Chan, Jackie                            
Wyler, William                          
Mann, Michael                           
Argento, Claudio                        
Daly, Jacob Q.                          
Amenabar, Alejandro                     
Friedkin, William                       
Koster, Henry                           
Bacon, Kevin                            
Newman, Paul                            
Olivier, Laurence                       
Sayles, John                            
Meyer, Mike                             
Basinger, Kim                           
Jonez, Spike                            
Wilder, Billy                           
Anderson, Gillian                       
Fox, Michael J.                         
Mandoki, Luis                           
Winslet, Kate                           
Keaton, Buster                          
Zucker, Jerry                           
Griffith, Melanie                       
Fellini, Federico                       
Flanery, Sean Patrick                   
Levinson, Barry                         
Coppola, Francis Ford                   
Lars Von Trier                          
Russell, Chuck                          
